NhRegra do trapéziRegra de SimpsonRegra de Bode
           4  0.25000000000000000        1.2860751978926444E-003   1.6515632779268152E-004   1.1798737152124428E-005
           8  0.12500000000000000        3.1390050599219843E-004   1.0157724641357557E-005   1.7551556880102126E-007
          16   6.2500000000000000E-002   7.8000888151463776E-005   6.3231779545702693E-007   2.7093276233625119E-009
          32   3.1250000000000000E-002   1.9470611816702066E-005   3.9480294866667265E-008   4.2205183792276557E-011
          64   1.5625000000000000E-002   4.8658027785863922E-006   2.4669007669952947E-009   6.5888960953941478E-013
         128   7.8125000000000000E-003   1.2163350658345173E-006   1.5417173093723591E-010   1.0214051826551440E-014
         256   3.9062500000000000E-003   3.0407653969777293E-007   9.6357088974485805E-012   5.5511151231257827E-017
         512   1.9531250000000000E-003   7.6018683015099953E-008   6.0224047970791617E-013   1.1102230246251565E-016
        1024   9.7656250000000000E-004   1.9004642359821133E-008   3.7747582837255322E-014   2.2204460492503131E-016
        2048   4.8828125000000000E-004   4.7511589940096854E-009   2.2759572004815709E-015   0.0000000000000000     
        4096   2.4414062500000000E-004   1.1877896721745884E-009   3.8857805861880479E-016   1.1102230246251565E-016
