          inter          dir1                    dir2                    dir3                       NR1                       NR2                      NR3                      sec1                      sec2                         sec3
           1  -1.2500000000000000        1.2500000000000000        2.1000000000000001       -1.0500421229991574       0.98552278820375339        3.1040685224839404       -1.0639618138424818       0.97685950413223144        3.0635838150289008     
           2 -0.87500000000000000       0.87500000000000000        2.6000000000000001       -1.0017746148548057        1.0000015173754788        3.0072442036696629       -1.0150708061992828        1.0009063495578989        2.9896620583347340     
           3  -1.0625000000000000        1.0625000000000000        2.8500000000000001       -1.0000023570634886        1.0000000000000000        3.0000390290368104       -1.0006910709168104       0.99999988340368873        2.9995219307995451     
           4 -0.96875000000000000       0.96875000000000000        2.9750000000000001       -1.0000000000041667        1.0000000000000000        3.0000000011423973       -1.0000077400384402        1.0000000000000240        3.0000037302139821     
           5  -1.0156250000000000        1.0156250000000000        3.0375000000000001       -1.0000000000000000        1.0000000000000000        2.9999999999999996       -1.0000000040100518        1.0000000000000000        2.9999999986621546     
           6 -0.99218750000000000       0.99218750000000000        3.0062500000000001       -1.0000000000000000        1.0000000000000000        3.0000000000000000       -1.0000000000000233        1.0000000000000000        2.9999999999999964     
